query_id,query_type,query_text,retriever_name,rank,document_id,score
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,1,session_489,0.8260040283203125
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,2,session_297,0.8231743574142456
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,3,session_356,0.8230606317520142
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,4,session_251,0.8223334550857544
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,5,session_478,0.8220000863075256
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,6,session_335,0.8219932317733765
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,7,session_421,0.821936845779419
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,8,session_283,0.8218632340431213
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,9,session_109,0.8215123414993286
ood_01,out_of_distribution,a drill to improve my tennis serve,semantic_e5_balanced_grammar,10,session_402,0.8213944435119629
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,1,session_108,-1.155561068233151
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,2,session_170,-1.155561068233151
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,3,session_392,-1.1776954515224314
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,4,session_073,-1.1813836838266314
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,5,session_195,-1.190618796140159
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,6,session_004,-1.1956353457140527
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,7,session_473,-1.1956789616629862
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,8,session_265,-1.1967133026036367
ood_01,out_of_distribution,a drill to improve my tennis serve,sparse_bm25_balanced_grammar,9,session_204,-1.1967990201703946
