source_file,case_id,grammar,size,query_text,faithfulness,answer_relevancy
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_01_cg_k10,loose,100,a 45-minute conditioned game session,0.8888888888888888,0.9436989901928213
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_02_cg_k10,loose,100,a 45-minute conditioned game session for an advanced player,0.8947368421052632,0.8410907294445552
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_03_cg_k10,loose,100,a 45-minute conditioned game session for an advanced player focusing on volley drops,0.5909090909090909,0.8899350224365427
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_04_cg_k10,loose,100,a 45-minute conditioned game session for an intermediate player focusing on backhand counter drops,0.6538461538461539,0.9594657389126046
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_21_mix_k10,loose,100,a 60-minute mix session,0.8620689655172413,0.7986407287988612
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_22_mix_k10,loose,100,a 60-minute mix session for an intermediate player,0.967741935483871,0.8953494862278473
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_23_mix_k10,loose,100,a 60-minute mix session for an professional player focusing on straight lob,0.6382978723404256,0.9249602046611209
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_24_mix_k10,loose,100,a 60-minute mix session for an intermediate player focusing on forehand straight kill,0.5789473684210527,0.9088893166856719
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_11_drill_k10,loose,100,a 60-minute drill session,0.4634146341463415,0.9401973228088689
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_12_drill_k10,loose,100,a 45-minute drill session focusing on the cross kill,0.8888888888888888,0.8488832647883385
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_22_drill_k10,loose,100,a drill session to improve on the forehand 2-wall boast,0.71875,0.9115811810940614
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,loose_100_complex_33_drill_k10,loose,100,a drill session for a professional to improve on the backhand 3-wall boast,0.6578947368421053,0.8246582016746382
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_01_cg_k10,balanced,100,a 45-minute conditioned game session,1.0,0.9451704496790448
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_02_cg_k10,balanced,100,a 45-minute conditioned game session for an advanced player,0.8421052631578947,0.8410907294445552
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_03_cg_k10,balanced,100,a 45-minute conditioned game session for an advanced player focusing on volley drops,0.7407407407407407,0.920527180051018
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_04_cg_k10,balanced,100,a 45-minute conditioned game session for an intermediate player focusing on backhand counter drops,0.37037037037037035,0.9594657389126046
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_21_mix_k10,balanced,100,a 60-minute mix session,1.0,0.8459091475061933
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_22_mix_k10,balanced,100,a 60-minute mix session for an intermediate player,0.967741935483871,0.8953732143595126
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_23_mix_k10,balanced,100,a 60-minute mix session for an professional player focusing on straight lob,0.6666666666666666,0.9249602046611209
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_24_mix_k10,balanced,100,a 60-minute mix session for an intermediate player focusing on forehand straight kill,0.9411764705882353,0.9316709869196264
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_11_drill_k10,balanced,100,a 60-minute drill session,0.9722222222222222,0.8990070306572159
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_12_drill_k10,balanced,100,a 45-minute drill session focusing on the cross kill,0.9459459459459459,0.8474910265912531
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_22_drill_k10,balanced,100,a drill session to improve on the forehand 2-wall boast,0.696969696969697,0.9205837780212928
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,balanced_100_complex_33_drill_k10,balanced,100,a drill session for a professional to improve on the backhand 3-wall boast,0.58,0.9023471950493951
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_01_cg_k10,high_constraint,100,a 45-minute conditioned game session,1.0,0.806088702021787
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_02_cg_k10,high_constraint,100,a 45-minute conditioned game session for an advanced player,0.4230769230769231,0.8410054030512225
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_03_cg_k10,high_constraint,100,a 45-minute conditioned game session for an advanced player focusing on volley drops,0.56,0.9019113298869782
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_04_cg_k10,high_constraint,100,a 45-minute conditioned game session for an intermediate player focusing on backhand counter drops,0.391304347826087,0.9347930758816053
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_21_mix_k10,high_constraint,100,a 60-minute mix session,1.0,0.8655192229665997
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_22_mix_k10,high_constraint,100,a 60-minute mix session for an intermediate player,0.7692307692307693,0.849758566151292
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_23_mix_k10,high_constraint,100,a 60-minute mix session for an professional player focusing on straight lob,0.90625,0.8314640125099638
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_24_mix_k10,high_constraint,100,a 60-minute mix session for an intermediate player focusing on forehand straight kill,0.7027027027027027,0.8768086601359703
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_11_drill_k10,high_constraint,100,a 60-minute drill session,0.9545454545454546,0.9044037901941726
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_12_drill_k10,high_constraint,100,a 45-minute drill session focusing on the cross kill,0.9565217391304348,0.8709374027802023
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_22_drill_k10,high_constraint,100,a drill session to improve on the forehand 2-wall boast,0.9473684210526315,0.9234221181446793
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size100_20250915_234711.json,high_constraint_100_complex_33_drill_k10,high_constraint,100,a drill session for a professional to improve on the backhand 3-wall boast,0.6666666666666666,0.8246582016746382
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size200_20250916_000033.json,loose_200_complex_01_cg_k10,loose,200,a 45-minute conditioned game session,1.0,0.9439054524618496
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size200_20250916_000033.json,loose_200_complex_02_cg_k10,loose,200,a 45-minute conditioned game session for an advanced player,0.7619047619047619,0.9615404970447153
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size200_20250916_000033.json,loose_200_complex_03_cg_k10,loose,200,a 45-minute conditioned game session for an advanced player focusing on volley drops,0.7894736842105263,0.9267344388190777
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size200_20250916_000033.json,loose_200_complex_04_cg_k10,loose,200,a 45-minute conditioned game session for an intermediate player focusing on backhand counter drops,0.47619047619047616,0.8888679509751419
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size200_20250916_000033.json,loose_200_complex_21_mix_k10,loose,200,a 60-minute mix session,1.0,0.8472321517045547
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size200_20250916_000033.json,loose_200_complex_22_mix_k10,loose,200,a 60-minute mix session for an intermediate player,0.967741935483871,0.8953494862278473
experiments/dynamic_fusion_retrieval/evaluation_sessions_set_k10_size200_20250916_000033.json,loose_200_complex_23_mix_k10,loose,200,a 60-minute mix session for an professional player focusing on straight lob,0.7096774193548387,0.9250626714405493
